# Tag name          ;  color
AmateurRadio        ; #fffb00
Aviation            ; #c0c0c0
Business            ; #c0c0c0
CB                  ; #ff0000
FMRadio             ; #ffb700
GMRS_FRS            ; #0000ff
Government          ; #c0c0c0
MURS                ; #ffff00
Marine              ; #00fff2
Military            ; #c0c0c0
NOAA                ; #60aaff
Navigation          ; #c0c0c0
PublicSafety        ; #ff4500
Security            ; #c0c0c0
TestRange           ; #c0c0c0
Utility             ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
    24930000; 12m SSB Calling          ; USB                 ;       3000; AmateurRadio
    26965000; CB01                     ; AM                  ;      10000; CB
    26975000; CB02                     ; AM                  ;      10000; CB
    26985000; CB03                     ; AM                  ;      10000; CB
    27005000; CB04                     ; AM                  ;      10000; CB
    27015000; CB05                     ; AM                  ;      10000; CB
    27025000; CB06                     ; AM                  ;      10000; CB
    27035000; CB07                     ; AM                  ;      10000; CB
    27055000; CB08                     ; AM                  ;      10000; CB
    27065000; CB09                     ; AM                  ;      10000; CB
    27075000; CB10                     ; AM                  ;      10000; CB
    27085000; CB11                     ; AM                  ;      10000; CB
    27105000; CB12                     ; AM                  ;      10000; CB
    27115000; CB13                     ; AM                  ;      10000; CB
    27125000; CB14                     ; AM                  ;      10000; CB
    27135000; CB15                     ; AM                  ;      10000; CB
    27155000; CB16                     ; AM                  ;      10000; CB
    27165000; CB17                     ; AM                  ;      10000; CB
    27175000; CB18                     ; AM                  ;      10000; CB
    27185000; CB19                     ; AM                  ;      10000; CB
    27205000; CB20                     ; AM                  ;      10000; CB
    27215000; CB21                     ; AM                  ;      10000; CB
    27225000; CB22                     ; AM                  ;      10000; CB
    27235000; CB24                     ; AM                  ;      10000; CB
    27245000; CB25                     ; AM                  ;      10000; CB
    27255000; CB23                     ; AM                  ;      10000; CB
    27265000; CB26                     ; AM                  ;      10000; CB
    27275000; CB27                     ; AM                  ;      10000; CB
    27285000; CB28                     ; AM                  ;      10000; CB
    27295000; CB29                     ; AM                  ;      10000; CB
    27305000; CB30                     ; AM                  ;      10000; CB
    27315000; CB31                     ; AM                  ;      10000; CB
    27325000; CB32                     ; AM                  ;      10000; CB
    27335000; CB33                     ; AM                  ;      10000; CB
    27345000; CB34                     ; AM                  ;      10000; CB
    27355000; CB35                     ; AM                  ;      10000; CB
    27365000; CB36                     ; AM                  ;      10000; CB
    27375000; CB37                     ; AM                  ;      10000; CB
    27385000; CB38                     ; AM                  ;      10000; CB
    27395000; CB39                     ; AM                  ;      10000; CB
    27405000; CB40                     ; AM                  ;      10000; CB
    28300000; 10m SSB Calling          ; USB                 ;       3000; AmateurRadio
    29600000; 10m FM Simplex           ; FM                  ;      10000; AmateurRadio
    33900000; Statewide fire / rescue  ; FM                  ;      12500; PublicSafety
    40500000; Army Search and Rescue   ; FM                  ;      12500; Military,PublicSafety
    41500000; Army Control Towers      ; FM                  ;      12500; Military
    50125000; 6m CW Calling            ; CW                  ;        500; AmateurRadio
    52525000; 6m FM Simplex            ; FM                  ;      10000; AmateurRadio
    69400000; Mobile SAM sites         ; FM                  ;      12500; Military
    87900000; 87.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88100000; 88.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88300000; 88.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88500000; 88.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88700000; 88.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    88900000; 88.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89100000; 89.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89300000; 89.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89500000; 89.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89700000; 89.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    89900000; 89.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90100000; 90.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90300000; 90.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90500000; 90.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90700000; 90.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    90900000; 90.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91100000; 91.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91300000; 91.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91500000; 91.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91700000; 91.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    91900000; 91.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92100000; 92.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92300000; 92.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92500000; 92.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92700000; 92.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    92900000; 92.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93100000; 93.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93300000; 93.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93500000; 93.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93700000; 93.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    93900000; 93.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94100000; 94.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94300000; 94.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94500000; 94.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94700000; 94.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    94900000; 94.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95100000; 95.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95300000; 95.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95500000; 95.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95700000; 95.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    95900000; 95.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96100000; 96.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96300000; 96.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96500000; 96.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96700000; 96.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    96900000; 96.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97100000; 97.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97300000; 97.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97500000; 97.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97700000; 97.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    97900000; 97.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98100000; 98.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98300000; 98.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98500000; 98.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98700000; 98.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    98900000; 98.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99100000; 99.1 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99300000; 99.3 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99500000; 99.5 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99700000; 99.7 FM                  ; WFM (stereo)        ;     200000; FMRadio
    99900000; 99.9 FM                  ; WFM (stereo)        ;     200000; FMRadio
   100100000; 100.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100300000; 100.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100500000; 100.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100700000; 100.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   100900000; 100.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101100000; 101.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101300000; 101.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101500000; 101.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101700000; 101.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   101900000; 101.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102100000; 102.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102300000; 102.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102500000; 102.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102700000; 102.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   102900000; 102.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103100000; 103.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103300000; 103.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103500000; 103.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103700000; 103.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   103900000; 103.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104100000; 104.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104300000; 104.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104500000; 104.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104700000; 104.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   104900000; 104.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105100000; 105.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105300000; 105.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105500000; 105.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105700000; 105.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   105900000; 105.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106100000; 106.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106300000; 106.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106500000; 106.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106700000; 106.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   106900000; 106.9 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107100000; 107.1 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107300000; 107.3 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107500000; 107.5 FM                 ; WFM (stereo)        ;     200000; FMRadio
   107700000; 107.7 FM                 ; WFM (stereo)        ;     200000; FMRadio
   108200000; North Las Vegas VOT      ; AM                  ;       8000; Navigation
   108300000; TTR ILS 14 Localizer     ; AM                  ;       8000; Navigation
   110300000; KLAS Runway 25R ILS      ; AM                  ;       8000; Navigation
   111700000; TTR ILS 32 Localizer     ; AM                  ;       8000; Navigation
   111750000; KLAS Runway 25L LOC/GS   ; AM                  ;       8000; Navigation
   113000000; TTR VOR                  ; AM                  ;       8000; Navigation
   114300000; Mormon Mesa VOR          ; AM                  ;       8000; Navigation
   114500000; Palmdale VOR             ; AM                  ;       8000; Navigation
   114700000; Beatty VOR               ; AM                  ;       8000; Navigation
   116000000; Tonopah VOR              ; AM                  ;       8000; Navigation
   116300000; Wilson Creek VOR         ; AM                  ;       8000; Navigation
   116400000; Edwards AFB VOR          ; AM                  ;       8000; Navigation
   116700000; Boulder City VOR         ; AM                  ;       8000; Navigation
   116900000; KLAS VOR                 ; AM                  ;       8000; Navigation
   117500000; Groom Lake VOR           ; AM                  ;       8000; Navigation
   117700000; Coaldale VOR             ; AM                  ;       8000; Navigation
   118000000; KLAS Clearance Delivery  ; AM                  ;       8000; Aviation
   118025000; LA Center high           ; AM                  ;       8000; Aviation
   118050000; North Las Vegas ATIS     ; AM                  ;       8000; Aviation
   118100000; Air drops                ; AM                  ;       8000; Military
   118125000; Nellis AFB Approach      ; AM                  ;       8000; Aviation,Military
   118275000; TTR Range 74 weather     ; AM                  ;       8000; Military
   118300000; Creech AFB Tower         ; AM                  ;       8000; Aviation,Military
   118400000; KLAS Approach SE         ; AM                  ;       8000; Aviation
   118450000; Air Exercise targeting   ; AM                  ;       8000; Military
   118700000; KLAS Janet Ops           ; AM                  ;       8000; Aviation,Government
   118750000; KLAS Control Tower       ; AM                  ;       8000; Aviation
   119000000; Grand Canyon Tower       ; AM                  ;       8000; Aviation
   119150000; North Las Vegas Tower    ; AM                  ;       8000; Aviation
   119350000; Nellis Control West      ; AM                  ;       8000; Aviation,Military
   119400000; KLAS Final Approach      ; AM                  ;       8000; Aviation
   119450000; TTR Base Ops             ; AM                  ;       8000; Military
   119775000; KLAS Approach East       ; AM                  ;       8000; Aviation
   119900000; KLAS Control Tower       ; AM                  ;       8000; Aviation
   120250000; Joshua Control           ; AM                  ;       8000; Aviation,Military
   120275000; Salt Lake Center         ; AM                  ;       8000; Aviation
   120450000; KLAS Approach NE         ; AM                  ;       8000; Aviation
   120525000; NTTR Fire Fighters       ; AM                  ;       8000; Military,PublicSafety
   120650000; Local Traffic            ; AM                  ;       8000; Aviation
   120775000; KHND ATIS                ; AM                  ;       8000; Aviation
   120900000; Nellis Clearance Delivery; AM                  ;       8000; Aviation,Military
   121100000; KLAS Ground Control      ; AM                  ;       8000; Aviation
   121125000; Creech AFB Weather       ; AM                  ;       8000; Aviation,Military
   121250000; Oakland Center           ; AM                  ;       8000; Aviation
   121500000; Aircraft Emergency       ; AM                  ;       8000; Aviation,PublicSafety
   121700000; North Las Vegas Ground   ; AM                  ;       8000; Aviation
   121800000; Nellis AFB Ground        ; AM                  ;       8000; Aviation,Military
   121900000; KLAS Ground Control      ; AM                  ;       8000; Aviation
   121950000; Local Traffic            ; AM                  ;       8000; Aviation
   122000000; Flight Advisory Service  ; AM                  ;       8000; Aviation
   122100000; Flight Service Stations  ; AM                  ;       8000; Aviation
   122200000; Flight Service Ely       ; AM                  ;       8000; Aviation
   122400000; Flight Service Las Vegas ; AM                  ;       8000; Aviation
   122500000; Flight Service Tonopah   ; AM                  ;       8000; Aviation
   122600000; Flight Service Mt. Potosi; AM                  ;       8000; Aviation
   122700000; Boulder City UNICOM      ; AM                  ;       8000; Aviation
   122800000; Desert Rock UNICOM       ; AM                  ;       8000; Aviation,Military
   122825000; UNICOM Domestic          ; AM                  ;       8000; Aviation
   122900000; MULTICOM                 ; AM                  ;       8000; Aviation
   122950000; KLAS/KHND UNICOM         ; AM                  ;       8000; Aviation
   123000000; Tonopah Airport UNICOM   ; AM                  ;       8000; Aviation
   123225000; Dreamland Airspace       ; AM                  ;       8000; Military
   123425000; Flight Test Enroute      ; AM                  ;       8000; Military,TestRange
   123450000; Flight test air-air      ; AM                  ;       8000; Military
   123475000; Nellis 64 AGRS           ; AM                  ;       8000; Military
   123500000; Aviation Support         ; AM                  ;       8000; Aviation
   123550000; Nellis Range Controller  ; AM                  ;       8000; Military
   123800000; Oakland Center           ; AM                  ;       8000; Aviation
   123825000; KLAS Helicopter Control  ; AM                  ;       8000; Aviation
   123950000; Joshua Control Saline MOA; AM                  ;       8000; Aviation,Military
   124000000; North Las Vegas Clearance; AM                  ;       8000; Aviation
   124200000; LA Center NE             ; AM                  ;       8000; Aviation
   124400000; KLAS Ramp Control        ; AM                  ;       8000; Aviation
   124550000; Joshua Control Palmdale  ; AM                  ;       8000; Aviation,Military
   124625000; LA Center NW             ; AM                  ;       8000; Aviation
   124750000; Silverbow Tower          ; AM                  ;       8000; Military
   124850000; LA Center                ; AM                  ;       8000; Aviation
   124950000; Nellis Approach East     ; AM                  ;       8000; Aviation,Military
   125025000; KLAS Approach West       ; AM                  ;       8000; Aviation
   125100000; KHND Tower & CTAF        ; AM                  ;       8000; Aviation
   125475000; KLAS Class B South       ; AM                  ;       8000; Aviation
   125575000; Salt Lake Center         ; AM                  ;       8000; Aviation
   125600000; KLAS Approach SE & E     ; AM                  ;       8000; Aviation
   125700000; North Las Vegas Tower    ; AM                  ;       8000; Aviation
   125725000; LA Center high           ; AM                  ;       8000; Aviation
   125750000; Oakland Center           ; AM                  ;       8000; Aviation
   125900000; KLAS Departure SW        ; AM                  ;       8000; Aviation
   126100000; Joshua Control Palmdale  ; AM                  ;       8000; Aviation,Military
   126150000; Dreamland MOA Control    ; AM                  ;       8000; Military
   126200000; 26 WPS Flight Advisory   ; AM                  ;       8000; Military
   126300000; Mercury Approach         ; AM                  ;       8000; Military
   126550000; Joshua Control Owens MOA ; AM                  ;       8000; Aviation,Military
   126600000; Dreamland Airspace       ; AM                  ;       8000; Military
   126650000; Nellis Control East      ; AM                  ;       8000; Aviation,Military
   126950000; Nellis Track             ; AM                  ;       8000; Aviation,Military
   127175000; Oakland Center           ; AM                  ;       8000; Aviation
   127250000; TTR Ground Control       ; AM                  ;       8000; Military
   127350000; LA Center                ; AM                  ;       8000; Aviation
   127500000; Joshua Control ATCAA     ; AM                  ;       8000; Aviation,Military
   127800000; KHND Ground              ; AM                  ;       8000; Aviation
   127900000; KLAS Ramp Control        ; AM                  ;       8000; Aviation
   127925000; Salt Lake Center         ; AM                  ;       8000; Aviation
   128075000; LA Center                ; AM                  ;       8000; Aviation
   128550000; Salt Lake Center         ; AM                  ;       8000; Aviation
   128725000; Salt Lake Center         ; AM                  ;       8000; Aviation
   128800000; Oakland Center           ; AM                  ;       8000; Aviation
   129025000; Private airline          ; AM                  ;       8000; Aviation
   129100000; Saint George Airport FBO ; AM                  ;       8000; Aviation
   129650000; Private airline          ; AM                  ;       8000; Aviation
   130000000; KLAS Ramp alternate      ; AM                  ;       8000; Aviation
   130350000; Northwest Airlines OPS   ; AM                  ;       8000; Aviation
   130525000; Red Flag Red Team        ; AM                  ;       8000; Military
   130650000; Air Mobility Command     ; AM                  ;       8000; Military
   130700000; Northwest Airlines       ; AM                  ;       8000; Aviation
   131150000; Delta Airlines           ; AM                  ;       8000; Aviation
   131600000; Scenic Airlines          ; AM                  ;       8000; Aviation
   131775000; America West Airlines    ; AM                  ;       8000; Aviation
   132050000; Oakland Center           ; AM                  ;       8000; Aviation
   132250000; Salt Lake Center         ; AM                  ;       8000; Aviation
   132400000; KLAS ATIS                ; AM                  ;       8000; Aviation
   132550000; Nellis AFB Tower         ; AM                  ;       8000; Aviation,Military
   132625000; LA Center                ; AM                  ;       8000; Aviation
   132800000; Oakland Center           ; AM                  ;       8000; Aviation
   132950000; Oakland Center           ; AM                  ;       8000; Aviation
   133450000; Salt Lake Center         ; AM                  ;       8000; Aviation
   133550000; LA Center                ; AM                  ;       8000; Aviation
   133600000; Salt Lake Center         ; AM                  ;       8000; Aviation
   133650000; Joshua Control Primary   ; AM                  ;       8000; Aviation,Military
   133900000; Salt Lake Center         ; AM                  ;       8000; Aviation
   133950000; KLAS Departure NE        ; AM                  ;       8000; Aviation
   134050000; Joshua Control Isabella  ; AM                  ;       8000; Aviation,Military
   134075000; Private aircraft         ; AM                  ;       8000; Aviation
   134100000; Clover Control South     ; AM                  ;       8000; Aviation,Military
   134375000; Oakland Center           ; AM                  ;       8000; Aviation
   134450000; Oakland Center           ; AM                  ;       8000; Aviation
   134525000; Salt Lake Center         ; AM                  ;       8000; Aviation
   134650000; LA Center                ; AM                  ;       8000; Aviation
   135000000; KLAS Final Approach      ; AM                  ;       8000; Aviation
   135100000; Nellis Approach West     ; AM                  ;       8000; Aviation,Military
   135250000; LA Center                ; AM                  ;       8000; Aviation
   135350000; KHND Clearance Delivery  ; AM                  ;       8000; Aviation
   135550000; LA Center ultra high     ; AM                  ;       8000; Aviation
   135775000; Salt Lake Center         ; AM                  ;       8000; Aviation
   135850000; FAA nav aid test         ; AM                  ;       8000; Government
   136500000; Private airline          ; AM                  ;       8000; Aviation
   138012500; 422 TES                  ; AM                  ;       8000; Military
   138100000; Green Flag Ops           ; AM                  ;       8000; Military
   138125000; Data Carrier             ; AM                  ;       8000; Utility
   138150000; Desert Rock Airstrip     ; AM                  ;       8000; Military
   138175000; 16 WPS                   ; AM                  ;       8000; Military
   138225000; FEMA base                ; AM                  ;       8000; Government,PublicSafety
   138250000; 16 WPS                   ; AM                  ;       8000; Military
   138300000; Search and Rescue        ; AM                  ;       8000; Military,PublicSafety
   138350000; Dreamland Mission Backup ; AM                  ;       8000; Military
   138375000; 66 WPS                   ; AM                  ;       8000; Military
   138500000; MAFEX Check-In           ; AM                  ;       8000; Military
   138575000; FAA nav aid test         ; AM                  ;       8000; Government
   138600000; Air Exercise crypto      ; AM                  ;       8000; Military
   138675000; Red Flag Ops             ; AM                  ;       8000; Military
   138750000; Red Flag ORANGE 2        ; AM                  ;       8000; Military
   138775000; Red Flag YELLOW 2        ; AM                  ;       8000; Military
   138900000; Bird Dog                 ; AM                  ;       8000; Military
   138950000; 26 WPS MQ-9              ; AM                  ;       8000; Military
   139125000; 16 WPS                   ; AM                  ;       8000; Military
   139200000; Red team air-air         ; AM                  ;       8000; Military
   139300000; Nellis Pilot-Dispatcher  ; AM                  ;       8000; Aviation,Military
   139400000; 66 WPS A-10              ; AM                  ;       8000; Military
   139425000; Groom Mission            ; AM                  ;       8000; Military
   139550000; 16 WPS                   ; AM                  ;       8000; Military
   139575000; Green Flag               ; AM                  ;       8000; Military
   139600000; 422 TES                  ; AM                  ;       8000; Military
   139750000; 64 AGRS                  ; AM                  ;       8000; Military
   139800000; Thunderbirds Air Show    ; AM                  ;       8000; Military
   139850000; 64 AGRS                  ; AM                  ;       8000; Military
   139950000; Green Flag               ; AM                  ;       8000; Military
   140100000; Green Flag               ; AM                  ;       8000; Military
   140150000; 16 WPS air-air           ; AM                  ;       8000; Military
   140175000; 433 WPS Support          ; AM                  ;       8000; Military
   140225000; Green Flag               ; AM                  ;       8000; Military
   140275000; 66 WPS                   ; AM                  ;       8000; Military
   140325000; 17 WPS Support           ; AM                  ;       8000; Military
   140375000; Red Flag 66 RQS          ; AM                  ;       8000; Military
